Relative_Density,Machine_Type,Laser_Power,Laser_Speed,Hatch_Spacing,Layer_Thickness,Powder_Size,Laser_Energy,Machine_Type_Concept Laser M2,Machine_Type_Concept laser M,Machine_Type_Concept laser M3,Machine_Type_EOS M270,Machine_Type_SLM,Machine_Type_SLM 125 HL,Machine_Type_SLM 250 HL,Machine_Type_SLM 280 HL,Machine_Type_Self-developed SLM,Machine_Type_Trumpf LF250
99.66,SLM 125 HL,70,400,80,30,32,72.9,0,0,0,0,0,1,0,0,0,0
99.52,Concept Laser M2,165,1500,75,20,32,73,1,0,0,0,0,0,0,0,0,0
96,SLM,110,400,40,50,20,137.5,0,0,0,0,1,0,0,0,0,0
99.44,SLM 250 HL,175,400,100,30,42,146,0,0,0,0,0,0,1,0,0,0
99.63,SLM 250 HL,175,900,100,30,42,65,0,0,0,0,0,0,1,0,0,0
99.74,SLM 125 HL,90,600,80,30,35,62.5,0,0,0,0,0,1,0,0,0,0
99.1,Self-developed SLM,42,50,75,30,35,373,0,0,0,0,0,0,0,0,1,0
99.66,SLM 125 HL,70,400,80,30,35,72.9,0,0,0,0,0,1,0,0,0,0
99.88,SLM 250 HL,178,600,100,30,42,99,0,0,0,0,0,0,1,0,0,0
99.95,Concept Laser M2,178,1500,75,20,32,79,1,0,0,0,0,0,0,0,0,0
99,Trumpf LF250,160,600,200,40,35,33.3,0,0,0,0,0,0,0,0,0,1
99.98,Concept laser M3,95,90,120,30,37,293,0,0,1,0,0,0,0,0,0,0
91,EOS M270,40,600,95,30,30,25,0,0,0,1,0,0,0,0,0,0
99.6,Self-developed SLM,42,200,75,30,35,93,0,0,0,0,0,0,0,0,1,0
99.88,SLM 250 HL,122,600,100,30,42,68,0,0,0,0,0,0,1,0,0,0
95.1,SLM 125 HL,50,300,120,30,32,46.3,0,0,0,0,0,1,0,0,0,0
99.5,EOS M270,80,240,95,30,30,116.96,0,0,0,1,0,0,0,0,0,0
99.8,EOS M270,80,470,95,30,30,59.72,0,0,0,1,0,0,0,0,0,0
99.31,SLM 125 HL,90,600,120,30,35,41.7,0,0,0,0,0,1,0,0,0,0
97.6,EOS M270,40,380,95,30,30,40,0,0,0,1,0,0,0,0,0,0
95.66,SLM 125 HL,60,600,80,30,35,41.7,0,0,0,0,0,1,0,0,0,0
99.2,Concept Laser M2,100,600,135,30,42,41.15,1,0,0,0,0,0,0,0,0,0
98.6,Concept Laser M2,152,800,75,20,32,126.7,1,0,0,0,0,0,0,0,0,0
97.73,SLM 125 HL,50,300,70,30,35,79.4,0,0,0,0,0,1,0,0,0,0
99.53,SLM 125 HL,90,600,70,30,35,71.4,0,0,0,0,0,1,0,0,0,0
99.5,EOS M270,80,230,95,30,30,115,0,0,0,1,0,0,0,0,0,0
94.2,EOS M270,120,320,95,30,30,131.58,0,0,0,1,0,0,0,0,0,0
99.46,Concept laser M,95,900,77,25,20,54.83,0,1,0,0,0,0,0,0,0,0
99.75,SLM 280 HL,150,667,90,50,21,50,0,0,0,0,0,0,0,1,0,0
99,EOS M270,80,850,95,30,30,33.02,0,0,0,1,0,0,0,0,0,0
99.82,Concept laser M3,95,125,130,30,37,195,0,0,1,0,0,0,0,0,0,0
99,EOS M270,80,820,95,30,30,35,0,0,0,1,0,0,0,0,0,0
99.74,SLM 125 HL,90,600,80,30,32,62.5,0,0,0,0,0,1,0,0,0,0
99.1,Concept laser M,95,600,77,25,20,82.25,0,1,0,0,0,0,0,0,0,0
99.85,SLM 250 HL,175,700,100,30,42,83,0,0,0,0,0,0,1,0,0,0
99.6,SLM 250 HL,175,710,120,30,32,68.47,0,0,0,0,0,0,1,0,0,0
99.5,EOS M270,186,1200,100,30,30,51.67,0,0,0,1,0,0,0,0,0,0
99.4,Concept Laser M2,178,800,75,20,32,148,1,0,0,0,0,0,0,0,0,0
